pregunta,A,B,C,D,respuesta
"Terminen este versículo: 'Entonces Jesús dijo a sus discípulos: Si alguno quiere venir en pos de mí, niéguese a sí mismo, y... (16:24)","'... tome su cruz, y sígame'.",'... viva en santidad'.,'... sea obediente'.,'... siga mis mandamientos'.,A
"Según Jesús, ¿cuántas veces debemos perdonar? (18:22)",Setenta veces siete,Setenta veces,Siete veces,Incontables veces,A
¿Qué dijo Jesús a los discípulos cuando reprendieron a los que le llevaron niños? (19:13-14),"'Dejad a los niños venir a mí', 'No se lo impidáis' y 'De los tales es el reino de los cielos'.",'Dejad que los niños se acerquen'.,'No les impidáis acercarse a mí'.,'Los niños son bienvenidos en mi reino'.,A
¿Qué hizo la multitud cuando Jesús entró en Jerusalén montado en el asna? (21:8-9),Tendieron sus mantos y ramas de árboles en el camino.,Aclamaron con gran alegría.,Le dieron la bienvenida como rey.,Lo siguieron con cantos.,A
¿Qué hizo Jesús cuando los ciegos y los cojos vinieron a Él en el templo? (21:14),Los sanó.,Les dio consuelo.,Les enseñó la verdad.,Los bendijo.,A
¿Quién sabe el día y la hora de la segunda venida de Cristo? (24:36),El Padre,El Hijo,Los ángeles,Nadie,A
¿Por qué debemos velar y prepararnos? (24:42),Porque no sabemos cuándo vendrá nuestro Señor.,Porque el tiempo es incierto.,Porque debemos estar listos en todo momento.,Porque la venida es inminente.,A
"Dos días antes de la pascua, ¿qué dijo Jesús que le sucedería al Hijo del Hombre? (26:2)",Alguien lo entregaría para ser crucificado.,Sería traicionado por un discípulo.,Sería arrestado.,Sería juzgado y condenado.,A
¿Cómo describió Jesús el acto de la mujer que derramó perfume sobre Él? (26:10),Una buena obra,Un acto de amor,Un sacrificio,Una bendición,A
¿Qué dijo Jesús que pasaría tres veces antes que el gallo cante? (26:34),Pedro negaría a Jesús.,Pedro lo abandonaría.,Pedro dudaría de Él.,Pedro lo traicionaría.,A
¿Qué buscaban los principales sacerdotes y el concilio durante el juicio de Jesús? (26:59),Falsos testimonios para pedir la muerte de Jesús,Pruebas para condenarlo,Testigos de sus enseñanzas,Motivos para arrestarlo,A
¿Qué hizo Pedro cuando recordó que Jesús dijo que Pedro lo negaría tres veces? (26:75),Salió y lloró amargamente.,Corrió a esconderse.,Pidió perdón a Jesús.,Se alejó del lugar.,A
¿Cómo respondió Jesús cuando Pilato le preguntó: '¿Eres tú el Rey de los judíos? (27:11),Jesús respondió: 'Tú lo dices'.,'Soy quien dices'.,'Tú lo has dicho'.,'Así es'.,A
"Terminen este versículo: '¿Qué, pues, haré de...' (27:22 a)","'... Jesús, llamado el Cristo?'","'... este hombre, Jesús?'",'... el profeta Jesús?','... aquel llamado Jesús?',A
¿Qué sucedió antes que Jesús entregara el espíritu y muriera? (27:50),Jesús clamó a gran voz,La tierra tembló,El cielo se oscureció,Los santos resucitaron,A
¿Cuál fue el mensaje que el ángel dio a las mujeres para los discípulos de Jesús? (28:7),"'Él ha resucitado de los muertos, y va delante de vosotros a Galilea'","'No está aquí, ha resucitado'",'Jesús ha vuelto a la vida','Vayan y cuenten a los discípulos',A
"En la Gran Comisión, ¿qué ordenó Jesús que hicieran sus discípulos? (28:19-20)","Hacer discípulos a todas las naciones, bautizar y enseñar",Predicar el evangelio en todo lugar,Amar y servir a los demás,Construir iglesias y congregaciones,A
